epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,96.81,0.53343,2.23391,1.14764,0.82124,0.9,0.95686,0.88986,0.44655,0.82272,1.08291,0.000143242,0.000143242,0.000143242
116,97.6202,0.63412,1.89993,1.08169,0.82179,0.9,0.96681,0.89583,0.45734,0.79374,1.09813,0.000142875,0.000142875,0.000142875
117,98.4231,0.56072,1.7629,1.13711,0.82625,0.86,0.98007,0.91042,0.47561,0.78459,1.11833,0.000142509,0.000142509,0.000142509
118,99.3323,0.58238,1.92566,1.14431,0.78676,0.9,0.97908,0.90943,0.46503,0.74912,1.11929,0.000142143,0.000142143,0.000142143
119,100.165,0.50492,1.99398,1.04448,0.88455,0.84,0.97178,0.90512,0.43592,0.71157,1.10366,0.000141777,0.000141777,0.000141777
120,101.014,0.50497,1.80452,1.07789,0.83758,0.86,0.97178,0.91034,0.42476,0.71019,1.09892,0.00014141,0.00014141,0.00014141
121,101.815,0.58001,1.858,1.12267,0.7793,0.88,0.96847,0.89732,0.45043,0.73431,1.11916,0.000141044,0.000141044,0.000141044
122,102.62,0.53506,1.64115,1.07756,0.81466,0.9,0.96847,0.89417,0.46818,0.75448,1.13601,0.000140678,0.000140678,0.000140678
123,103.429,0.61736,2.16055,1.13498,0.82421,0.9,0.97178,0.90744,0.45816,0.76229,1.12493,0.000140311,0.000140311,0.000140311
124,104.242,0.58548,1.87792,1.1782,0.83854,0.88,0.97178,0.91076,0.43382,0.74813,1.09468,0.000139945,0.000139945,0.000139945
125,105.045,0.5914,2.25024,1.20988,0.78942,0.92,0.98505,0.92137,0.43651,0.74376,1.10206,0.000139579,0.000139579,0.000139579
126,105.867,0.59746,1.76459,1.13,0.80765,0.88,0.98505,0.91838,0.43479,0.76108,1.11239,0.000139212,0.000139212,0.000139212
127,106.675,0.46418,1.93953,1.05925,0.80385,0.86,0.995,0.92933,0.4352,0.74905,1.11132,0.000138846,0.000138846,0.000138846
128,107.581,0.54042,1.71042,1.06755,0.79684,0.88,0.995,0.92535,0.44345,0.73133,1.11509,0.00013848,0.00013848,0.00013848
129,108.379,0.4923,1.82902,1.05845,0.87587,0.82,0.995,0.9353,0.45581,0.7423,1.12648,0.000138114,0.000138114,0.000138114
130,109.195,0.542,1.81954,1.08021,0.86475,0.84,0.995,0.93132,0.45445,0.75891,1.1305,0.000137747,0.000137747,0.000137747
131,109.994,0.5809,1.74298,1.17327,0.77378,0.9,0.995,0.93331,0.43175,0.75081,1.11869,0.000137381,0.000137381,0.000137381
