epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,67.5153,0.62029,0.49475,0.94677,0.99431,1,0.995,0.86088,0.5994,0.42983,0.91582,0.00110222,0.00110222,0.00110222
156,67.9411,0.69185,0.47717,0.93534,0.99291,1,0.995,0.87572,0.52927,0.43944,0.87704,0.00109855,0.00109855,0.00109855
157,68.3484,0.7407,0.51135,1.01663,0.99291,1,0.995,0.87572,0.52927,0.43944,0.87704,0.00109489,0.00109489,0.00109489
158,68.7822,0.63059,0.48288,0.96139,0.99476,1,0.995,0.8816,0.51027,0.38615,0.86869,0.00109122,0.00109122,0.00109122
159,69.1937,0.63997,0.49075,0.97244,0.99476,1,0.995,0.8816,0.51027,0.38615,0.86869,0.00108755,0.00108755,0.00108755
160,69.6286,0.63292,0.46364,0.93841,0.99609,1,0.995,0.87984,0.53093,0.36691,0.87566,0.00108388,0.00108388,0.00108388
161,70.0366,0.74043,0.516,0.99303,0.99609,1,0.995,0.87984,0.53093,0.36691,0.87566,0.00108022,0.00108022,0.00108022
162,70.4502,0.72898,0.51931,0.94518,0.99672,1,0.995,0.85104,0.62001,0.39238,0.91802,0.00107655,0.00107655,0.00107655
163,70.8643,0.64637,0.48582,0.95002,0.99672,1,0.995,0.85104,0.62001,0.39238,0.91802,0.00107288,0.00107288,0.00107288
164,71.2878,0.72648,0.56971,1.00905,0.99729,1,0.995,0.8343,0.67822,0.41199,0.95296,0.00106921,0.00106921,0.00106921
165,71.7097,0.66195,0.49575,0.95484,0.99729,1,0.995,0.8343,0.67822,0.41199,0.95296,0.00106555,0.00106555,0.00106555
166,72.1178,0.7364,0.53178,1.05711,0.99476,1,0.995,0.87309,0.54597,0.39901,0.89786,0.00106188,0.00106188,0.00106188
167,72.5388,0.54307,0.43563,0.85401,0.99476,1,0.995,0.87309,0.54597,0.39901,0.89786,0.00105821,0.00105821,0.00105821
168,72.9512,0.59467,0.47112,0.91684,0.99683,1,0.995,0.89764,0.46877,0.36737,0.86926,0.00105454,0.00105454,0.00105454
169,73.3567,0.56289,0.45371,0.9022,0.99683,1,0.995,0.89764,0.46877,0.36737,0.86926,0.00105088,0.00105088,0.00105088
170,73.7676,0.61854,0.4609,0.95045,0.99728,1,0.995,0.88206,0.53422,0.36587,0.88214,0.00104721,0.00104721,0.00104721
171,74.173,0.68263,0.48623,0.93209,0.99728,1,0.995,0.88206,0.53422,0.36587,0.88214,0.00104354,0.00104354,0.00104354
172,74.5933,0.62169,0.44455,0.92566,0.99685,1,0.995,0.88575,0.54515,0.35874,0.87848,0.00103987,0.00103987,0.00103987
173,75.019,0.63253,0.44533,0.93198,0.99685,1,0.995,0.88575,0.54515,0.35874,0.87848,0.00103621,0.00103621,0.00103621
